"","obs_date","watershed","precip","streamflow","flag","yr","mo","da","wk"
"48","1969-02-17","8",0,0.346,NA,1969,2,17,7
"49","1969-02-18","8",0,0.435,NA,1969,2,18,7
"50","1969-02-19","8",0.4,0.417,NA,1969,2,19,8
"51","1969-02-20","8",0,0.372,NA,1969,2,20,8
"52","1969-02-21","8",0,0.305,NA,1969,2,21,8
"53","1969-02-22","8",0,0.298,NA,1969,2,22,8
"54","1969-02-23","8",0,0.3,NA,1969,2,23,8
"55","1969-02-24","8",22.8,0.295,NA,1969,2,24,8
"56","1969-02-25","8",77.4,0.299,NA,1969,2,25,8
"57","1969-02-26","8",8.4,0.293,NA,1969,2,26,9
"58","1969-02-27","8",0,0.288,NA,1969,2,27,9
"59","1969-02-28","8",0,0.282,NA,1969,2,28,9
"60","1969-03-01","8",0,0.275,NA,1969,3,1,9
"61","1969-03-02","8",0,0.276,NA,1969,3,2,9
"62","1969-03-03","8",3.6,0.292,NA,1969,3,3,9
"63","1969-03-04","8",0,0.298,NA,1969,3,4,9
"64","1969-03-05","8",0,0.29,NA,1969,3,5,10
"65","1969-03-06","8",0,0.294,NA,1969,3,6,10
"66","1969-03-07","8",0,0.298,NA,1969,3,7,10
"67","1969-03-08","8",0.6,0.295,NA,1969,3,8,10
"68","1969-03-09","8",0,0.299,NA,1969,3,9,10
"69","1969-03-10","8",1.2,0.315,NA,1969,3,10,10
"70","1969-03-11","8",0.7,0.299,NA,1969,3,11,10
"71","1969-03-12","8",0.2,0.298,NA,1969,3,12,11
"72","1969-03-13","8",0,0.297,NA,1969,3,13,11
"73","1969-03-14","8",0,0.292,NA,1969,3,14,11
"74","1969-03-15","8",1.5,0.292,NA,1969,3,15,11
"75","1969-03-16","8",0,0.292,NA,1969,3,16,11
"76","1969-03-17","8",2.6,0.293,NA,1969,3,17,11
"77","1969-03-18","8",2.1,0.31,NA,1969,3,18,11
"78","1969-03-19","8",6.1,0.3,NA,1969,3,19,12
"79","1969-03-20","8",1.6,0.3,NA,1969,3,20,12
"80","1969-03-21","8",18.4,0.346,NA,1969,3,21,12
"81","1969-03-22","8",1.5,0.372,NA,1969,3,22,12
"82","1969-03-23","8",0,0.348,NA,1969,3,23,12
"83","1969-03-24","8",0,0.378,NA,1969,3,24,12
"84","1969-03-25","8",47.1,0.522,NA,1969,3,25,12
"85","1969-03-26","8",4.3,0.812,NA,1969,3,26,13
"86","1969-03-27","8",0.9,0.665,NA,1969,3,27,13
"87","1969-03-28","8",0,0.569,NA,1969,3,28,13
"88","1969-03-29","8",2.9,0.533,NA,1969,3,29,13
"89","1969-03-30","8",0.9,0.522,NA,1969,3,30,13
"90","1969-03-31","8",0.8,0.506,NA,1969,3,31,13
"91","1969-04-01","8",0,0.494,NA,1969,4,1,13
"92","1969-04-02","8",4,0.598,NA,1969,4,2,14
"93","1969-04-03","8",0,0.65,NA,1969,4,3,14
"94","1969-04-04","8",0,0.608,NA,1969,4,4,14
"95","1969-04-05","8",6.5,1.357,NA,1969,4,5,14
"96","1969-04-06","8",4.5,4.25,NA,1969,4,6,14
"97","1969-04-07","8",0.6,3.323,NA,1969,4,7,14
"98","1969-04-08","8",0,2.77,NA,1969,4,8,14
"99","1969-04-09","8",0,2.266,NA,1969,4,9,15
"100","1969-04-10","8",5.1,4.682,NA,1969,4,10,15
"101","1969-04-11","8",1.1,11.499,NA,1969,4,11,15
"102","1969-04-12","8",0,5.175,NA,1969,4,12,15
"103","1969-04-13","8",0,3.969,NA,1969,4,13,15
"104","1969-04-14","8",0,7.976,NA,1969,4,14,15
"105","1969-04-15","8",0,19.178,NA,1969,4,15,15
"106","1969-04-16","8",10.4,24.097,NA,1969,4,16,16
"107","1969-04-17","8",0.2,39.745,NA,1969,4,17,16
"108","1969-04-18","8",18.2,37.967,NA,1969,4,18,16
"109","1969-04-19","8",16,31.674,NA,1969,4,19,16
"110","1969-04-20","8",0.1,8.183,NA,1969,4,20,16
"111","1969-04-21","8",0,4.643,NA,1969,4,21,16
"112","1969-04-22","8",4.4,3.877,NA,1969,4,22,16
"113","1969-04-23","8",11.3,5.432,NA,1969,4,23,17
"114","1969-04-24","8",0.8,5.946,NA,1969,4,24,17
"115","1969-04-25","8",0.1,5.959,NA,1969,4,25,17
"116","1969-04-26","8",0,6.818,NA,1969,4,26,17
"117","1969-04-27","8",0.4,9.372,NA,1969,4,27,17
"118","1969-04-28","8",11.5,34.849,NA,1969,4,28,17
"119","1969-04-29","8",0.6,35.88,NA,1969,4,29,17
"120","1969-04-30","8",0,12.986,NA,1969,4,30,18
"121","1969-05-01","8",0,11.282,NA,1969,5,1,18
"122","1969-05-02","8",0,11.983,NA,1969,5,2,18
"123","1969-05-03","8",0,26.33,NA,1969,5,3,18
"124","1969-05-04","8",0,19.841,NA,1969,5,4,18
"125","1969-05-05","8",0,12.033,NA,1969,5,5,18
"126","1969-05-06","8",0,8.096,NA,1969,5,6,18
"127","1969-05-07","8",3.8,7.328,NA,1969,5,7,19
"128","1969-05-08","8",7.6,10.656,NA,1969,5,8,19
"129","1969-05-09","8",16.6,30.005,NA,1969,5,9,19
"130","1969-05-10","8",0,14.103,NA,1969,5,10,19
"131","1969-05-11","8",15.2,14.334,NA,1969,5,11,19
"132","1969-05-12","8",1.1,8.771,NA,1969,5,12,19
"133","1969-05-13","8",4.4,5.915,NA,1969,5,13,19
"134","1969-05-14","8",0.8,6.229,NA,1969,5,14,20
"135","1969-05-15","8",0,5.736,NA,1969,5,15,20
"136","1969-05-16","8",0,6.663,NA,1969,5,16,20
"137","1969-05-17","8",10.8,10.33,NA,1969,5,17,20
"138","1969-05-18","8",4.1,10.01,NA,1969,5,18,20
"139","1969-05-19","8",10.4,8.656,NA,1969,5,19,20
"140","1969-05-20","8",35.3,29.805,NA,1969,5,20,20
"141","1969-05-21","8",0,9.98,NA,1969,5,21,21
"142","1969-05-22","8",0,4.513,NA,1969,5,22,21
"143","1969-05-23","8",0,2.999,NA,1969,5,23,21
"144","1969-05-24","8",2,2.342,NA,1969,5,24,21
"145","1969-05-25","8",0,1.9,NA,1969,5,25,21
"146","1969-05-26","8",0,1.531,NA,1969,5,26,21
"147","1969-05-27","8",0,1.259,NA,1969,5,27,21
"148","1969-05-28","8",1.2,1.11,NA,1969,5,28,22
"149","1969-05-29","8",0,0.961,NA,1969,5,29,22
"150","1969-05-30","8",0,0.828,NA,1969,5,30,22
"151","1969-05-31","8",0,0.702,NA,1969,5,31,22
"152","1969-06-01","8",0,0.546,NA,1969,6,1,22
"153","1969-06-02","8",1.5,0.518,NA,1969,6,2,22
"154","1969-06-03","8",12.8,0.782,NA,1969,6,3,22
"155","1969-06-04","8",0,0.79,NA,1969,6,4,23
"156","1969-06-05","8",0,0.589,NA,1969,6,5,23
"157","1969-06-06","8",14.7,0.817,NA,1969,6,6,23
"158","1969-06-07","8",0.9,1.504,NA,1969,6,7,23
"159","1969-06-08","8",1.5,0.881,NA,1969,6,8,23
"160","1969-06-09","8",0.6,0.679,NA,1969,6,9,23
"161","1969-06-10","8",0,0.486,NA,1969,6,10,23
"162","1969-06-11","8",0,0.356,NA,1969,6,11,24
"163","1969-06-12","8",0,0.278,NA,1969,6,12,24
"164","1969-06-13","8",0,0.245,NA,1969,6,13,24
"165","1969-06-14","8",0,0.22,NA,1969,6,14,24
"166","1969-06-15","8",25.7,0.669,NA,1969,6,15,24
"167","1969-06-16","8",2,2.159,NA,1969,6,16,24
"168","1969-06-17","8",0,1.028,NA,1969,6,17,24
"169","1969-06-18","8",0,0.573,NA,1969,6,18,25
"170","1969-06-19","8",0,0.429,NA,1969,6,19,25
"171","1969-06-20","8",7.1,0.413,NA,1969,6,20,25
"172","1969-06-21","8",0.5,0.384,NA,1969,6,21,25
"173","1969-06-22","8",0,0.267,NA,1969,6,22,25
"174","1969-06-23","8",21.4,0.887,NA,1969,6,23,25
"175","1969-06-24","8",8.8,5.494,NA,1969,6,24,25
"176","1969-06-25","8",0.8,2.567,NA,1969,6,25,26
"177","1969-06-26","8",0,1.315,NA,1969,6,26,26
"178","1969-06-27","8",0,0.767,NA,1969,6,27,26
"179","1969-06-28","8",0,0.486,NA,1969,6,28,26
"180","1969-06-29","8",0,0.324,NA,1969,6,29,26
"181","1969-06-30","8",1.6,0.258,NA,1969,6,30,26
"182","1969-07-01","8",0,0.219,NA,1969,7,1,26
"183","1969-07-02","8",0,0.191,NA,1969,7,2,27
"184","1969-07-03","8",0,0.168,NA,1969,7,3,27
"185","1969-07-04","8",0,0.153,NA,1969,7,4,27
"186","1969-07-05","8",4.6,0.175,NA,1969,7,5,27
"187","1969-07-06","8",0,0.153,NA,1969,7,6,27
"188","1969-07-07","8",0,0.122,NA,1969,7,7,27
"189","1969-07-08","8",0,0.105,NA,1969,7,8,27
"190","1969-07-09","8",0,0.094,NA,1969,7,9,28
"191","1969-07-10","8",3.8,0.109,NA,1969,7,10,28
"192","1969-07-11","8",23.9,0.162,NA,1969,7,11,28
"193","1969-07-12","8",3.9,0.69,NA,1969,7,12,28
"194","1969-07-13","8",10.9,0.445,NA,1969,7,13,28
"195","1969-07-14","8",0,0.592,NA,1969,7,14,28
"196","1969-07-15","8",0,0.341,NA,1969,7,15,28
"197","1969-07-16","8",0,0.236,NA,1969,7,16,29
"198","1969-07-17","8",0,0.195,NA,1969,7,17,29
"199","1969-07-18","8",0,0.121,NA,1969,7,18,29
"200","1969-07-19","8",0,0.092,NA,1969,7,19,29
"201","1969-07-20","8",10.6,0.085,NA,1969,7,20,29
"202","1969-07-21","8",1,0.098,NA,1969,7,21,29
"203","1969-07-22","8",0.3,0.155,NA,1969,7,22,29
"204","1969-07-23","8",0,0.103,NA,1969,7,23,30
"205","1969-07-24","8",0,0.09,NA,1969,7,24,30
"206","1969-07-25","8",0,0.079,NA,1969,7,25,30
"207","1969-07-26","8",11.4,0.137,NA,1969,7,26,30
"208","1969-07-27","8",8.6,0.18,NA,1969,7,27,30
"209","1969-07-28","8",20.4,1.873,NA,1969,7,28,30
"210","1969-07-29","8",96.2,40.954,NA,1969,7,29,30
"211","1969-07-30","8",3.8,29.099,NA,1969,7,30,31
"212","1969-07-31","8",0,4.943,NA,1969,7,31,31
"213","1969-08-01","8",1.5,2.059,NA,1969,8,1,31
"214","1969-08-02","8",12.9,1.927,NA,1969,8,2,31
"215","1969-08-03","8",0,2.709,NA,1969,8,3,31
"216","1969-08-04","8",0,1.657,NA,1969,8,4,31
"217","1969-08-05","8",18.9,23.206,NA,1969,8,5,31
"218","1969-08-06","8",27.6,4.679,NA,1969,8,6,32
"219","1969-08-07","8",0,2.209,NA,1969,8,7,32
"220","1969-08-08","8",15.6,1.497,NA,1969,8,8,32
"221","1969-08-09","8",2.7,2.124,NA,1969,8,9,32
"222","1969-08-10","8",10,1.97,NA,1969,8,10,32
"223","1969-08-11","8",0,1.831,NA,1969,8,11,32
"224","1969-08-12","8",0,1.042,NA,1969,8,12,32
"225","1969-08-13","8",0,0.685,NA,1969,8,13,33
"226","1969-08-14","8",0,0.478,NA,1969,8,14,33
"227","1969-08-15","8",0,0.363,NA,1969,8,15,33
"228","1969-08-16","8",0,0.345,NA,1969,8,16,33
"229","1969-08-17","8",11.9,1.218,NA,1969,8,17,33
"230","1969-08-18","8",11.8,1.05,NA,1969,8,18,33
"231","1969-08-19","8",5.1,0.779,NA,1969,8,19,33
"232","1969-08-20","8",0,0.545,NA,1969,8,20,34
"233","1969-08-21","8",0,0.364,NA,1969,8,21,34
"234","1969-08-22","8",0,0.271,NA,1969,8,22,34
"235","1969-08-23","8",0,0.23,NA,1969,8,23,34
"236","1969-08-24","8",25.1,1.752,NA,1969,8,24,34
"237","1969-08-25","8",8.8,1.211,NA,1969,8,25,34
"238","1969-08-26","8",1.9,1.506,NA,1969,8,26,34
"239","1969-08-27","8",0,0.84,NA,1969,8,27,35
"240","1969-08-28","8",0,0.563,NA,1969,8,28,35
"241","1969-08-29","8",0.6,0.44,NA,1969,8,29,35
"242","1969-08-30","8",0,0.324,NA,1969,8,30,35
"243","1969-08-31","8",0,0.256,NA,1969,8,31,35
"244","1969-09-01","8",0,0.223,NA,1969,9,1,35
"245","1969-09-02","8",0,0.214,NA,1969,9,2,35
"246","1969-09-03","8",1,0.217,NA,1969,9,3,36
"247","1969-09-04","8",0.2,0.214,NA,1969,9,4,36
"248","1969-09-05","8",0.3,0.197,NA,1969,9,5,36
"249","1969-09-06","8",3.9,0.217,NA,1969,9,6,36
"250","1969-09-07","8",0,0.216,NA,1969,9,7,36
"251","1969-09-08","8",11.6,0.243,NA,1969,9,8,36
"252","1969-09-09","8",1.5,0.44,NA,1969,9,9,36
"253","1969-09-10","8",0,0.306,NA,1969,9,10,37
"254","1969-09-11","8",0,0.242,NA,1969,9,11,37
"255","1969-09-12","8",0,0.204,NA,1969,9,12,37
"256","1969-09-13","8",0,0.178,NA,1969,9,13,37
"257","1969-09-14","8",0,0.164,NA,1969,9,14,37
"258","1969-09-15","8",0,0.156,NA,1969,9,15,37
"259","1969-09-16","8",0,0.139,NA,1969,9,16,37
"260","1969-09-17","8",8.5,0.172,NA,1969,9,17,38
"261","1969-09-18","8",0,0.167,NA,1969,9,18,38
"262","1969-09-19","8",0,0.142,NA,1969,9,19,38
"263","1969-09-20","8",0,0.132,NA,1969,9,20,38
"264","1969-09-21","8",0,0.12,NA,1969,9,21,38
"265","1969-09-22","8",0,0.104,NA,1969,9,22,38
"266","1969-09-23","8",0,0.107,NA,1969,9,23,38
"267","1969-09-24","8",0,0.105,NA,1969,9,24,39
"268","1969-09-25","8",8.3,0.122,NA,1969,9,25,39
"269","1969-09-26","8",3.1,0.162,NA,1969,9,26,39
"270","1969-09-27","8",1.7,0.149,NA,1969,9,27,39
"271","1969-09-28","8",1.1,0.134,NA,1969,9,28,39
"272","1969-09-29","8",0,0.127,NA,1969,9,29,39
"273","1969-09-30","8",0,0.127,NA,1969,9,30,39
"274","1969-10-01","8",0,0.116,NA,1969,10,1,40
"275","1969-10-02","8",7.8,0.131,NA,1969,10,2,40
"276","1969-10-03","8",19.4,1.435,NA,1969,10,3,40
"277","1969-10-04","8",0,0.968,NA,1969,10,4,40
"278","1969-10-05","8",0,0.537,NA,1969,10,5,40
"279","1969-10-06","8",0,0.348,NA,1969,10,6,40
"280","1969-10-07","8",0,0.259,NA,1969,10,7,40
"281","1969-10-08","8",2.8,0.252,NA,1969,10,8,41
"282","1969-10-09","8",0,0.229,NA,1969,10,9,41
"283","1969-10-10","8",0,0.212,NA,1969,10,10,41
"284","1969-10-11","8",0,0.198,NA,1969,10,11,41
"285","1969-10-12","8",0,0.198,NA,1969,10,12,41
"286","1969-10-13","8",0,0.191,NA,1969,10,13,41
"287","1969-10-14","8",0.5,0.189,NA,1969,10,14,41
"288","1969-10-15","8",0,0.177,NA,1969,10,15,42
"289","1969-10-16","8",1.5,0.175,NA,1969,10,16,42
"290","1969-10-17","8",0,0.175,NA,1969,10,17,42
"291","1969-10-18","8",0,0.167,NA,1969,10,18,42
"292","1969-10-19","8",0,0.16,NA,1969,10,19,42
"293","1969-10-20","8",11.8,0.191,NA,1969,10,20,42
"294","1969-10-21","8",0.4,0.258,NA,1969,10,21,42
"295","1969-10-22","8",0,0.254,NA,1969,10,22,43
"296","1969-10-23","8",0,0.247,NA,1969,10,23,43
"297","1969-10-24","8",0.1,0.251,NA,1969,10,24,43
"298","1969-10-25","8",14.8,0.316,NA,1969,10,25,43
"299","1969-10-26","8",3.4,0.586,NA,1969,10,26,43
"300","1969-10-27","8",0.9,1.615,NA,1969,10,27,43
"301","1969-10-28","8",0,1.552,NA,1969,10,28,43
"302","1969-10-29","8",0,0.927,NA,1969,10,29,44
"303","1969-10-30","8",0,0.718,NA,1969,10,30,44
"304","1969-10-31","8",0,0.59,NA,1969,10,31,44
"305","1969-11-01","8",0,0.529,NA,1969,11,1,44
"306","1969-11-02","8",6.4,0.504,NA,1969,11,2,44
"307","1969-11-03","8",4.6,2.919,NA,1969,11,3,44
"308","1969-11-04","8",7.2,1.999,NA,1969,11,4,44
"309","1969-11-05","8",25.6,10.315,NA,1969,11,5,45
"310","1969-11-06","8",25.3,17.56,NA,1969,11,6,45
"311","1969-11-07","8",9.9,12.435,NA,1969,11,7,45
"312","1969-11-08","8",9.3,11.478,NA,1969,11,8,45
"313","1969-11-09","8",5.1,5.613,NA,1969,11,9,45
"314","1969-11-10","8",1.6,4.466,NA,1969,11,10,45
"315","1969-11-11","8",9.3,4.28,NA,1969,11,11,45
"316","1969-11-12","8",2.7,5.822,NA,1969,11,12,46
"317","1969-11-13","8",6.6,4.991,NA,1969,11,13,46
"318","1969-11-14","8",3.6,3.404,NA,1969,11,14,46
"319","1969-11-15","8",4.3,3.859,NA,1969,11,15,46
"320","1969-11-16","8",0,2.677,NA,1969,11,16,46
"321","1969-11-17","8",0,1.921,NA,1969,11,17,46
"322","1969-11-18","8",0,1.553,NA,1969,11,18,46
"323","1969-11-19","8",21.3,1.434,NA,1969,11,19,47
"324","1969-11-20","8",38.5,24.454,NA,1969,11,20,47
"325","1969-11-21","8",0,5.716,NA,1969,11,21,47
"326","1969-11-22","8",0,3.182,NA,1969,11,22,47
"327","1969-11-23","8",2.7,2.918,NA,1969,11,23,47
"328","1969-11-24","8",0,1.862,NA,1969,11,24,47
"329","1969-11-25","8",0,1.392,NA,1969,11,25,47
"330","1969-11-26","8",0.7,1.148,NA,1969,11,26,48
"331","1969-11-27","8",0,0.979,NA,1969,11,27,48
"332","1969-11-28","8",0,0.833,NA,1969,11,28,48
"333","1969-11-29","8",0.1,0.765,NA,1969,11,29,48
"334","1969-11-30","8",0.6,0.71,NA,1969,11,30,48
"335","1969-12-01","8",1.1,0.678,NA,1969,12,1,48
"336","1969-12-02","8",0,0.604,NA,1969,12,2,48
"337","1969-12-03","8",1.2,0.572,NA,1969,12,3,49
"338","1969-12-04","8",0,0.572,NA,1969,12,4,49
"339","1969-12-05","8",0,0.49,NA,1969,12,5,49
"340","1969-12-06","8",0,0.504,NA,1969,12,6,49
"341","1969-12-07","8",0,0.444,NA,1969,12,7,49
"342","1969-12-08","8",14.2,0.391,NA,1969,12,8,49
"343","1969-12-09","8",7.5,1.297,NA,1969,12,9,49
"344","1969-12-10","8",5.2,1.217,NA,1969,12,10,50
"345","1969-12-11","8",28.5,23.877,NA,1969,12,11,50
"346","1969-12-12","8",0,7.462,NA,1969,12,12,50
"347","1969-12-13","8",0,3.146,NA,1969,12,13,50
"348","1969-12-14","8",1.6,2.059,NA,1969,12,14,50
"349","1969-12-15","8",2.5,1.499,NA,1969,12,15,50
"350","1969-12-16","8",0,1.096,NA,1969,12,16,50
"351","1969-12-17","8",0,0.887,NA,1969,12,17,51
"352","1969-12-18","8",1.2,0.82,NA,1969,12,18,51
"353","1969-12-19","8",4.2,0.773,NA,1969,12,19,51
"354","1969-12-20","8",0.5,0.696,NA,1969,12,20,51
"355","1969-12-21","8",2,0.623,NA,1969,12,21,51
"356","1969-12-22","8",32.9,0.589,NA,1969,12,22,51
"357","1969-12-23","8",0,0.558,NA,1969,12,23,51
"358","1969-12-24","8",0,0.474,NA,1969,12,24,52
"359","1969-12-25","8",0,0.468,NA,1969,12,25,52
"360","1969-12-26","8",42.1,0.482,NA,1969,12,26,52
"361","1969-12-27","8",76.3,43.758,NA,1969,12,27,52
"362","1969-12-28","8",0,10.332,NA,1969,12,28,52
"363","1969-12-29","8",0,4.21,NA,1969,12,29,52
"364","1969-12-30","8",0,2.425,NA,1969,12,30,52
"365","1969-12-31","8",1.2,1.71,NA,1969,12,31,53
"366","1970-01-01","8",0,1.381,NA,1970,1,1,1
"367","1970-01-02","8",0,1.136,NA,1970,1,2,1
"368","1970-01-03","8",0,0.952,NA,1970,1,3,1
"369","1970-01-04","8",0,0.811,NA,1970,1,4,1
"370","1970-01-05","8",0,0.692,NA,1970,1,5,1
"371","1970-01-06","8",0.2,0.702,NA,1970,1,6,1
"372","1970-01-07","8",0,0.602,NA,1970,1,7,1
"373","1970-01-08","8",0.5,0.5,NA,1970,1,8,2
"374","1970-01-09","8",0,0.452,NA,1970,1,9,2
"375","1970-01-10","8",0.3,0.424,NA,1970,1,10,2
"376","1970-01-11","8",0.3,0.407,NA,1970,1,11,2
"377","1970-01-12","8",0.2,0.374,NA,1970,1,12,2
"378","1970-01-13","8",1.3,0.366,NA,1970,1,13,2
"379","1970-01-14","8",1,0.327,NA,1970,1,14,2
"380","1970-01-15","8",0,0.298,NA,1970,1,15,3
"381","1970-01-16","8",0,0.263,NA,1970,1,16,3
"382","1970-01-17","8",0,0.286,NA,1970,1,17,3
"383","1970-01-18","8",5.9,0.289,NA,1970,1,18,3
"384","1970-01-19","8",0,0.286,NA,1970,1,19,3
"385","1970-01-20","8",0,0.281,NA,1970,1,20,3
"386","1970-01-21","8",0,0.272,NA,1970,1,21,3
"387","1970-01-22","8",0,0.267,NA,1970,1,22,4
"388","1970-01-23","8",0.8,0.245,NA,1970,1,23,4
"389","1970-01-24","8",0,0.242,NA,1970,1,24,4
"390","1970-01-25","8",3,0.24,NA,1970,1,25,4
"391","1970-01-26","8",8,0.229,NA,1970,1,26,4
"392","1970-01-27","8",0,0.224,NA,1970,1,27,4
"393","1970-01-28","8",3,0.234,NA,1970,1,28,4
"394","1970-01-29","8",3.4,0.324,NA,1970,1,29,5
"395","1970-01-30","8",1.1,0.345,NA,1970,1,30,5
"396","1970-01-31","8",0,0.274,NA,1970,1,31,5
"397","1970-02-01","8",0,0.268,NA,1970,2,1,5
"398","1970-02-02","8",10.3,0.334,NA,1970,2,2,5
"399","1970-02-03","8",30.7,3.815,NA,1970,2,3,5
"400","1970-02-04","8",9.8,4.391,NA,1970,2,4,5
"401","1970-02-05","8",0,2.473,NA,1970,2,5,6
"402","1970-02-06","8",0,1.775,NA,1970,2,6,6
"403","1970-02-07","8",0,1.386,NA,1970,2,7,6
"404","1970-02-08","8",0,1.156,NA,1970,2,8,6
"405","1970-02-09","8",0,1.034,NA,1970,2,9,6
"406","1970-02-10","8",13,1.032,NA,1970,2,10,6
"407","1970-02-11","8",13.5,9.521,NA,1970,2,11,6
"408","1970-02-12","8",1.6,4.911,NA,1970,2,12,7
"409","1970-02-13","8",0,2.492,NA,1970,2,13,7
"410","1970-02-14","8",0,1.733,NA,1970,2,14,7
"411","1970-02-15","8",14.8,1.415,NA,1970,2,15,7
"412","1970-02-16","8",0.4,1.223,NA,1970,2,16,7
"413","1970-02-17","8",0,1.054,NA,1970,2,17,7
"414","1970-02-18","8",0,0.959,NA,1970,2,18,7
"415","1970-02-19","8",2.1,0.85,NA,1970,2,19,8
"416","1970-02-20","8",0,0.761,NA,1970,2,20,8
"417","1970-02-21","8",0,0.709,NA,1970,2,21,8
"418","1970-02-22","8",0,0.661,NA,1970,2,22,8
"419","1970-02-23","8",1.5,0.584,NA,1970,2,23,8
"420","1970-02-24","8",1.5,0.549,NA,1970,2,24,8
"421","1970-02-25","8",2.6,0.522,NA,1970,2,25,8
"422","1970-02-26","8",0,0.506,NA,1970,2,26,9
"423","1970-02-27","8",3.1,0.476,NA,1970,2,27,9
"424","1970-02-28","8",5.2,0.462,NA,1970,2,28,9
"425","1970-03-01","8",0,0.434,NA,1970,3,1,9
"426","1970-03-02","8",4.3,0.423,NA,1970,3,2,9
"427","1970-03-03","8",0,0.409,NA,1970,3,3,9
"428","1970-03-04","8",9.1,0.402,NA,1970,3,4,9
"429","1970-03-05","8",4.1,0.4,NA,1970,3,5,10
"430","1970-03-06","8",0.7,0.379,NA,1970,3,6,10
"431","1970-03-07","8",0,0.372,NA,1970,3,7,10
"432","1970-03-08","8",5,0.374,NA,1970,3,8,10
"433","1970-03-09","8",0,0.357,NA,1970,3,9,10
"434","1970-03-10","8",0,0.354,NA,1970,3,10,10
"435","1970-03-11","8",0,0.318,NA,1970,3,11,10
"436","1970-03-12","8",0.4,0.301,NA,1970,3,12,11
"437","1970-03-13","8",15.4,0.296,NA,1970,3,13,11
"438","1970-03-14","8",7,0.27,NA,1970,3,14,11
"439","1970-03-15","8",2.8,0.116,NA,1970,3,15,11
"440","1970-03-16","8",0,0.294,NA,1970,3,16,11
"441","1970-03-17","8",0,0.266,NA,1970,3,17,11
"442","1970-03-18","8",0,0.262,NA,1970,3,18,11
"443","1970-03-19","8",0,0.26,NA,1970,3,19,12
"444","1970-03-20","8",11.9,0.272,NA,1970,3,20,12
"445","1970-03-21","8",24.6,0.284,NA,1970,3,21,12
"446","1970-03-22","8",0.8,0.27,NA,1970,3,22,12
"447","1970-03-23","8",6.8,0.272,NA,1970,3,23,12
"448","1970-03-24","8",1.2,0.265,NA,1970,3,24,12
"449","1970-03-25","8",3.3,0.266,NA,1970,3,25,12
"450","1970-03-26","8",14.1,0.289,NA,1970,3,26,13
